countyID,FIPS,countyname
01,37001,Alamance
03,37003,Alexander
05,37005,Alleghany
07,37007,Anson
09,37009,Ashe
11,37011,Avery
13,37013,Beaufort
15,37015,Bertie
17,37017,Bladen
19,37019,Brunswick
21,37021,Buncombe
23,37023,Burke
25,37025,Cabarrus
27,37027,Caldwell
29,37029,Camden
31,37031,Carteret
33,37033,Caswell
35,37035,Catawba
37,37037,Chatham
39,37039,Cherokee
41,37041,Chowan
43,37043,Clay
45,37045,Cleveland
47,37047,Columbus
49,37049,Craven
51,37051,Cumberland
53,37053,Currituck
55,37055,Dare
57,37057,Davidson
59,37059,Davie
61,37061,Duplin
63,37063,Durham
65,37065,Edgecombe
67,37067,Forsyth
69,37069,Franklin
71,37071,Gaston
73,37073,Gates
75,37075,Graham
77,37077,Granville
79,37079,Greene
81,37081,Guilford
83,37083,Halifax
85,37085,Harnett
87,37087,Haywood
89,37089,Henderson
91,37091,Hertford
93,37093,Hoke
95,37095,Hyde
97,37097,Iredell
99,37099,Jackson
01,37101,Johnston
03,37103,Jones
05,37105,Lee
07,37107,Lenoir
09,37109,Lincoln
11,37111,McDowell
13,37113,Macon
15,37115,Madison
17,37117,Martin
19,37119,Mecklenburg
21,37121,Mitchell
23,37123,Montgomery
25,37125,Moore
27,37127,Nash
29,37129,New Hanover
31,37131,Northampton
33,37133,Onslow
35,37135,Orange
37,37137,Pamlico
39,37139,Pasquotank
41,37141,Pender
43,37143,Perquimans
45,37145,Person
47,37147,Pitt
49,37149,Polk
51,37151,Randolph
53,37153,Richmond
55,37155,Robeson
57,37157,Rockingham
59,37159,Rowan
61,37161,Rutherford
63,37163,Sampson
65,37165,Scotland
67,37167,Stanly
69,37169,Stokes
71,37171,Surry
73,37173,Swain
75,37175,Transylvania
77,37177,Tyrrell
79,37179,Union
81,37181,Vance
83,37183,Wake
85,37185,Warren
87,37187,Washington
89,37189,Watauga
91,37191,Wayne
93,37193,Wilkes
95,37195,Wilson
97,37197,Yadkin
99,37199,Yancey
999,NA,Out of State
