id,sex,grade
1,F,11
2,M,10
3,F,12
4,M,12
5,M,10
6,F,10
7,F,11
8,M,12
9,M,12
10,F,10
11,F,12
12,M,12
13,M,11
14,F,12
15,M,10
16,F,7
17,F,10
18,F,8
19,M,10
20,M,11
21,F,7
22,M,9
23,M,8
24,M,8
25,M,7
26,F,12
27,F,9
28,F,10
29,F,11
30,F,11
31,F,10
32,M,12
33,M,11
34,F,11
35,F,11
36,M,11
37,M,10
38,M,12
39,F,9
40,M,11
41,F,9
42,F,11
43,F,7
44,M,11
45,M,12
46,F,9
47,M,12
48,F,12
49,M,10
50,F,10
51,F,10
52,F,12
53,F,11
54,M,12
55,M,10
56,M,9
57,F,12
58,M,9
59,M,8
60,M,7
61,M,8
62,M,8
63,F,10
64,F,11
65,M,12
66,F,12
67,F,10
68,M,10
69,M,10
70,F,11
71,F,11
72,M,12
73,F,11
74,F,11
75,F,12
76,F,9
77,F,11
78,F,12
79,F,8
80,M,8
81,F,8
82,F,11
83,F,8
84,F,11
85,F,10
86,F,12
87,M,12
88,M,11
89,F,11
90,F,11
91,M,10
92,M,12
93,M,7
94,F,12
95,F,11
96,F,10
97,F,11
98,F,11
99,F,11
100,F,12
101,F,8
102,M,8
103,F,10
104,F,8
105,F,10
106,M,9
107,M,10
108,F,11
109,F,10
110,M,10
111,F,7
112,F,11
113,F,11
114,M,12
115,F,12
116,F,10
117,M,9
118,F,9
119,F,11
120,F,11
121,M,12
122,F,8
123,M,7
124,F,8
125,F,8
126,F,10
127,F,11
128,F,10
129,F,9
130,F,12
131,F,8
132,F,7
133,M,11
134,M,11
135,F,12
136,F,11
137,F,11
138,F,11
139,F,11
140,F,10
141,F,11
142,M,9
143,M,10
144,M,12
145,F,10
146,F,8
147,F,8
148,F,9
149,F,12
150,F,12
151,F,10
152,M,9
153,F,12
