2006-2010 CANCER INCIDENCE RATES FOR SELECTED SITES,,,,,,,,,,
"PER 100,000 POPULATION",,,,,,,,,,
AGE-ADJUSTED TO THE 2000 US CENSUS,,,,,,,,,,
,,,,,,,,,,
County,COLON/RECTUM,,LUNG/BRONCHUS,,FEMALE BREAST,,PROSTATE,,ALL CANCERS,
,Cases,Rate,Cases,Rate,Cases,Rate,Cases,Rate,Cases,Rate
NORTH CAROLINA,"20,968",43.4,"36,287",74.8,"41,169",155.9,"34,733",153.7,"242,432",498.1
Alamance,342,41.0,646,76.5,727,160.2,626,168.7,"4,336",522.5
Alexander,103,49.9,156,75.7,152,133.8,148,138.7,"1,040",489.1
Alleghany,35,41.6,65,74.2,46,115.5,60,148.0,369,452.1
Anson,55,36.7,108,73.7,115,149.3,89,131.9,663,449.8
Ashe,77,38.9,134,68.5,117,119.0,113,118.9,883,466.6
Avery,45,38.1,79,65.3,75,129.8,74,132.2,520,447.3
Beaufort,187,61.1,275,83.5,269,157.4,239,157.0,"1,702",540.0
Bertie,71,58.7,89,70.9,95,147.0,94,168.1,603,490.9
Bladen,94,46.8,156,79.0,110,106.2,109,116.5,846,435.9
Brunswick,279,35.8,558,70.4,545,138.9,393,91.2,"3,269",426.7
Buncombe,554,38.6,"1,048",72.4,"1,282",167.5,"1,050",158.6,"7,174",503.7
Burke,287,53.1,468,84.6,463,159.6,344,134.3,"2,838",525.0
Cabarrus,350,43.6,645,82.9,705,161.0,678,186.6,"4,473",558.7
Caldwell,195,40.6,473,95.3,354,136.2,216,90.9,"2,234",460.2
Camden,20,42.2,32,65.4,62,237.5,47,200.0,260,525.6
Carteret,216,48.8,406,87.4,370,158.8,322,138.3,"2,468",546.7
Caswell,78,52.7,120,82.2,138,183.4,127,185.2,811,559.2
Catawba,350,40.0,624,70.7,692,147.1,533,126.8,"4,038",460.3
Chatham,159,41.1,248,63.3,345,168.9,260,141.6,"1,907",494.5
Cherokee,104,46.2,167,77.4,145,146.8,105,97.9,992,494.9
Chowan,62,58.4,82,76.4,73,145.9,71,148.4,491,478.7
Clay,37,42.3,69,77.7,75,166.7,60,130.6,433,518.1
Cleveland,312,52.9,466,78.9,403,126.9,462,167.5,"2,838",486.4
Columbus,148,44.0,266,80.4,228,128.8,182,116.8,"1,512",458.1
Craven,228,40.4,512,87.6,465,158.1,493,182.2,"3,001",529.8
Cumberland,541,43.0,984,78.7,"1,127",157.9,747,133.8,"6,258",489.5
Currituck,49,41.3,99,79.3,96,136.9,105,168.3,601,475.6
Dare,91,45.0,150,69.6,219,195.7,148,134.5,"1,029",485.5
Davidson,431,48.3,791,86.9,680,141.9,583,139.0,"4,576",511.2
Davie,93,36.3,214,83.2,187,143.2,174,135.2,"1,224",486.9
Duplin,115,39.0,206,68.5,207,132.1,176,127.7,"1,342",458.0
